mode,game_id,league,season,week,market,side,team_or_side,model_line,market_line,model_prob,market_prob,edge,american_odds,units,placed_at
simulation,toy-1,nfl,2024,1,total,over,over,45.7,44.0,,,1.7,-110,1.0,2026-09-12 02:24:54.325822+00:00
simulation,toy-2,nfl,2024,1,spread,away,CCC,-2.13,-7.0,0.4386,,4.867,-110,1.0,2026-09-12 02:24:54.326305+00:00
simulation,toy-2,nfl,2024,1,total,under,under,44.99,47.0,,,2.005,-110,1.0,2026-09-12 02:24:54.326305+00:00
simulation,toy-3,nfl,2024,2,spread,home,CCC,-1.6,3.5,0.5462,,5.1,-110,1.0,2026-09-12 02:24:54.326559+00:00
simulation,toy-3,nfl,2024,2,total,over,over,45.7,41.0,,,4.701,-110,1.0,2026-09-12 02:24:54.326559+00:00
simulation,toy-3,nfl,2024,2,moneyline,home,CCC,,,0.5462,0.4202,0.2561,130,1.0,2026-09-12 02:24:54.326559+00:00
simulation,toy-4,nfl,2024,2,total,under,under,43.09,48.0,,,4.91,-110,1.0,2026-09-12 02:24:54.326790+00:00
simulation,toy-5,nfl,2024,3,spread,home,AAA,-2.11,1.0,0.5608,,3.112,-110,1.0,2026-09-12 02:24:54.326994+00:00
simulation,toy-5,nfl,2024,3,total,over,over,45.48,40.0,,,5.477,-110,1.0,2026-09-12 02:24:54.326994+00:00
simulation,toy-5,nfl,2024,3,moneyline,home,AAA,,,0.5608,0.4202,0.2899,130,1.0,2026-09-12 02:24:54.326994+00:00
simulation,toy-6,nfl,2024,3,total,under,under,40.17,51.0,,,10.83,-110,1.0,2026-09-12 02:24:54.327234+00:00
simulation,toy-6,nfl,2024,3,moneyline,home,BBB,,,0.6333,0.5798,0.0556,-150,1.0,2026-09-12 02:24:54.327234+00:00
simulation,toy-7,nfl,2024,4,spread,home,CCC,-0.04,2.5,0.5012,,2.543,-110,1.0,2026-09-12 02:24:54.327439+00:00
simulation,toy-7,nfl,2024,4,total,over,over,45.45,43.0,,,2.452,-110,1.0,2026-09-12 02:24:54.327439+00:00
simulation,toy-7,nfl,2024,4,moneyline,home,CCC,,,0.5012,0.4202,0.1528,130,1.0,2026-09-12 02:24:54.327439+00:00
simulation,toy-8,nfl,2024,4,total,under,under,41.72,46.0,,,4.276,-110,1.0,2026-09-12 02:24:54.327630+00:00
simulation,toy-10,nfl,2024,5,spread,home,BBB,-6.13,-3.0,0.6716,,3.13,-110,1.0,2026-09-12 02:24:54.327965+00:00
simulation,toy-10,nfl,2024,5,total,over,over,44.1,42.0,,,2.101,-110,1.0,2026-09-12 02:24:54.327965+00:00
simulation,toy-10,nfl,2024,5,moneyline,home,BBB,,,0.6716,0.5798,0.1193,-150,1.0,2026-09-12 02:24:54.327965+00:00
simulation,toy-9,nfl,2024,5,total,under,under,40.23,45.0,,,4.765,-110,1.0,2026-09-12 02:24:54.328158+00:00
simulation,toy-9,nfl,2024,5,moneyline,home,AAA,,,0.5009,0.4202,0.1521,130,1.0,2026-09-12 02:24:54.328158+00:00
simulation,toy-11,nfl,2024,6,spread,away,DDD,1.26,-14.0,0.5364,,15.259,-110,1.0,2026-09-12 02:24:54.328384+00:00
simulation,toy-11,nfl,2024,6,total,under,under,42.04,52.0,,,9.958,-110,1.0,2026-09-12 02:24:54.328384+00:00
simulation,toy-11,nfl,2024,6,moneyline,away,DDD,,,0.5364,0.4202,0.2336,130,1.0,2026-09-12 02:24:54.328384+00:00
simulation,toy-12,nfl,2024,6,spread,home,DDD,-3.91,2.0,0.6117,,5.915,-110,1.0,2026-09-12 02:24:54.328565+00:00
simulation,toy-12,nfl,2024,6,total,over,over,43.56,39.0,,,4.565,-110,1.0,2026-09-12 02:24:54.328565+00:00
simulation,toy-12,nfl,2024,6,moneyline,home,DDD,,,0.6117,0.4202,0.4069,130,1.0,2026-09-12 02:24:54.328565+00:00
